canciones,artistas,género,tipo,año lanzamiento
Drama Club,Melanie Martinez,Pop,track,2019
Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,Pop,track,2019
Good Things Fall Apart (with Jon Bellion),ILLENIUM,Pop,track,2019
el Diablo,mgk,Pop,track,2019
I'm Not Alright,Loud Luxury,Pop,track,2019
Without Me (with Juice WRLD),Halsey,Pop,track,2019
WAM,A$AP Ferg,Pop,track,2019
Harleys In Hawaii,Katy Perry,Pop,track,2019
I Wanna C U,Blood Orange,Pop,track,2019
Rescue Me,Marshmello,Pop,track,2019
It's Not The Same Anymore,Rex Orange County,Pop,track,2019
Goin Baby,DaBaby,Pop,track,2019
Canalla,Romeo Santos,Pop,track,2019
HP,Maluma,Pop,track,2019
Legacy (feat. Travis Scott & 21 Savage),Offset,Pop,track,2019
Nina Cried Power (feat. Mavis Staples),Hozier,Pop,track,2019
"SIGNED, SOBER YOU",HARDY,Pop,track,2019
Baby Sitter (feat. Offset),DaBaby,Pop,track,2019
Valentina,Dreamer Isioma,Pop,track,2019
You Should've Known,Hopsin,Pop,track,2019
Killer Whale,Boyscott,Pop,track,2019
Jonny (Reprise),Faye Webster,Pop,track,2019
WHY,NF,Pop,track,2019
Big Plans,Why Don't We,Pop,track,2019
Why Am I Like This?,Orla Gartland,Pop,track,2019
Smoky Mountain Rain,Ronnie Milsap,Pop,track,2019
Focus (feat. 21 Savage),Bazzi,Pop,track,2019
Rob A Bank,Confetti,Pop,track,2019
All You Need To Know (feat. Calle Lehmann),Gryffin,Pop,track,2019
You and I,Jakob,Pop,track,2019
fake smile,Ariana Grande,Pop,track,2019
Allergic,Post Malone,Pop,track,2019
Dembow,Danny Ocean,Pop,track,2019
